severity,code,position_id,event_id,strategy,signal_id,contract_address,entry_time,exit_time,entry_price,exit_price,pnl_pct,reason,anomaly_type,details_json
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_147805,77GjN2S4wwYsL3XCqQSFFcduh8jGPWtV8zUroMnFbonk,2025-08-06T18:13:00+00:00,2025-08-07T00:11:00+00:00,0.0002097724956609,0.0001695455129306,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_147821,Bb5DTomqzRG7s475rtB55HyzRvjAG1V1xNyqd2QxThTi,2025-08-06T19:23:00+00:00,2025-08-07T01:22:00+00:00,5.16089400130301e-05,0.0001844665580925,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148019,BbcEc7W7JfvHDRimWpbcBw6gfC9oU8irCumytrPQbonk,2025-08-07T17:11:00+00:00,2025-08-07T22:55:00+00:00,6.45147300542139e-05,0.000173949162242,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148048,JDGRxsVyTPD9RmXT34bQbXBAfjvupzozLbRoDEUHBAGS,2025-08-07T19:59:00+00:00,2025-08-08T01:46:00+00:00,0.0001226702090224,0.0001037753766101,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148053,7MUGBVeWyGag4hUS7R72fXngPcop3kki9HmgC2k3bXak,2025-08-07T20:15:00+00:00,2025-08-08T01:59:00+00:00,0.000133803298438,0.0001021091127368,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148084,7obhQyME8iSNktCbCAtiLCpgv3cVqW1PWd31v4Egpump,2025-08-07T23:47:00+00:00,2025-08-08T05:46:00+00:00,0.0003233109533666,0.0007372496941726,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148123,APu9zDAmkQZes2TcjmVLGHuRQgtatMEpPyxsPxZRpump,2025-08-08T04:14:00+00:00,2025-08-08T04:44:00+00:00,7.629682985536226e-05,0.0003480913231614,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148244,YjzCuXtexmEonRNYXXbDTYRm5coZYQmLFFRBMVt7cLZ,2025-08-08T16:45:00+00:00,2025-08-08T22:44:00+00:00,6.559588395774256e-05,0.0001306397351419,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148552,FYXnJhgLmhcELqsKyAfdKZExFfA7gaskQa5TuEZE9RZT,2025-08-09T22:49:00+00:00,2025-08-10T04:48:00+00:00,0.0003021609463585,0.0008105423452163,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148786,8snfTBHqzDEFpUuTjfibEnj5RnsAYUNh6o9tYHPAdjks,2025-08-10T19:36:00+00:00,2025-08-11T01:35:00+00:00,0.0003563019148314,0.0005480723175399,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148816,6b1embXE3tUKtCf1q5CaUxcDzxTypWVhayG8pGivrUme,2025-08-10T22:25:00+00:00,2025-08-11T04:24:00+00:00,4.490892613362107e-05,4.524393612559793e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148988,FTggXu7nYowpXjScSw7BZjtZDXywLNjK88CGhydDGgMS,2025-08-11T12:20:00+00:00,2025-08-11T18:19:00+00:00,0.0002211365958594,0.0007209658507563,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149012,YBdbwtZ4nzFmZyZ1C2cAB18D3wySCanvSTip9Ntbonk,2025-08-11T14:01:00+00:00,2025-08-11T20:00:00+00:00,0.0001519154673159,0.0005336495030773,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
