timestamp,event_type,strategy,signal_id,contract_address,position_id,meta_json
2025-11-28T14:51:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172672,ESZ5Je6stEk425s84ozSqJfuKq5J5fm75VrX2Wuopump,,"{""size"": 2192.4720333011956, ""open_positions"": 6}"
2025-11-28T17:25:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172646,3F4hakpnZE1BVhHeaa8RAahf9W2x6LaH8ZxQDahqpump,,"{""entry_time"": ""2025-11-28T11:32:00+00:00"", ""exit_time"": ""2025-11-28T17:25:00+00:00"", ""pnl_pct"": -0.9283428060431259, ""pnl_sol"": -2112.703063880999, ""fees_total_sol"": 0.6523037491595289, ""close_reason"": ""unknown""}"
2025-11-28T20:50:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172672,ESZ5Je6stEk425s84ozSqJfuKq5J5fm75VrX2Wuopump,,"{""entry_time"": ""2025-11-28T14:51:00+00:00"", ""exit_time"": ""2025-11-28T20:50:00+00:00"", ""pnl_pct"": -0.8287407620641739, ""pnl_sol"": -1816.9909436824216, ""fees_total_sol"": 1.5019243584750939, ""close_reason"": ""unknown""}"
2025-11-28T21:14:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172728,A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump,,{}
2025-11-28T21:14:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172728,A9E2AopuG56LWYiXsvGLLTcLjUjQ539PY6k5Fhfepump,,"{""size"": 2851.712004807361, ""open_positions"": 3}"
2025-11-29T05:29:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172797,DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump,,{}
2025-11-29T05:29:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172797,DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump,,"{""size"": 3196.749755724803, ""open_positions"": 3}"
2025-11-29T06:45:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172815,EaX1w1JrWbc6utxA7oyMec9Rcwkuwvwic2oZZWFapump,,{}
2025-11-29T06:45:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172815,EaX1w1JrWbc6utxA7oyMec9Rcwkuwvwic2oZZWFapump,,"{""size"": 2877.074730152323, ""open_positions"": 4}"
2025-11-29T10:58:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172857,6wYU8DQBefvR8kAFgqTLXBYVxJhnVogxbsjsQT2Kpump,,"{""size"": 4041.9959684277305, ""open_positions"": 4}"
2025-11-29T10:58:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172857,6wYU8DQBefvR8kAFgqTLXBYVxJhnVogxbsjsQT2Kpump,,{}
2025-11-29T12:44:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172815,EaX1w1JrWbc6utxA7oyMec9Rcwkuwvwic2oZZWFapump,,"{""entry_time"": ""2025-11-29T06:45:00+00:00"", ""exit_time"": ""2025-11-29T12:44:00+00:00"", ""pnl_pct"": -0.18216920946469606, ""pnl_sol"": -524.1144291627024, ""fees_total_sol"": 9.411841203958375, ""close_reason"": ""unknown""}"
2025-11-29T15:12:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172894,A2A39SooVXf8QMKcSJTzFaPd8bRAoX3rhXhwXdeabonk,,{}
2025-11-29T15:12:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172894,A2A39SooVXf8QMKcSJTzFaPd8bRAoX3rhXhwXdeabonk,,"{""size"": 3872.1511175635237, ""open_positions"": 4}"
2025-11-29T16:57:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172857,6wYU8DQBefvR8kAFgqTLXBYVxJhnVogxbsjsQT2Kpump,,"{""entry_time"": ""2025-11-29T10:58:00+00:00"", ""exit_time"": ""2025-11-29T16:57:00+00:00"", ""pnl_pct"": -0.29162083013212664, ""pnl_sol"": -1178.730219703604, ""fees_total_sol"": 11.4530629948963, ""close_reason"": ""unknown""}"
2025-11-29T18:34:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172928,2tjqj3vPwuu4UpmmwggQ8WhMbK36Qckkzk19k1kopump,,{}
2025-11-29T18:34:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172928,2tjqj3vPwuu4UpmmwggQ8WhMbK36Qckkzk19k1kopump,,"{""size"": 3770.1171743800937, ""open_positions"": 4}"
2025-11-30T00:33:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172928,2tjqj3vPwuu4UpmmwggQ8WhMbK36Qckkzk19k1kopump,,"{""entry_time"": ""2025-11-29T18:34:00+00:00"", ""exit_time"": ""2025-11-30T00:33:00+00:00"", ""pnl_pct"": -0.555176793452553, ""pnl_sol"": -2093.08156381274, ""fees_total_sol"": 6.708142442269491, ""close_reason"": ""unknown""}"
2025-11-30T03:59:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172992,6N5Bi3sUz6UbfSadsFAodNFBBHo9FHLiT4FBdbdkpump,,{}
2025-11-30T03:59:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172992,6N5Bi3sUz6UbfSadsFAodNFBBHo9FHLiT4FBdbdkpump,,"{""size"": 4123.583277206366, ""open_positions"": 3}"
2025-11-30T06:01:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173010,9iXwnWndycLagCoz16Pgxk5dxvX7BtBw3gkyZQQypump,,{}
2025-11-30T06:01:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173010,9iXwnWndycLagCoz16Pgxk5dxvX7BtBw3gkyZQQypump,,"{""size"": 3711.224899485729, ""open_positions"": 4}"
2025-11-30T09:58:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172992,6N5Bi3sUz6UbfSadsFAodNFBBHo9FHLiT4FBdbdkpump,,"{""entry_time"": ""2025-11-30T03:59:00+00:00"", ""exit_time"": ""2025-11-30T09:58:00+00:00"", ""pnl_pct"": -0.12648933809740245, ""pnl_sol"": -521.5893193233509, ""fees_total_sol"": 14.407975831531985, ""close_reason"": ""unknown""}"
2025-11-30T10:26:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173062,5sb2N9TuognPT2nWUk9ciA9BkMnvYF9h2Pmi7CQNpump,,{}
2025-11-30T10:26:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173062,5sb2N9TuognPT2nWUk9ciA9BkMnvYF9h2Pmi7CQNpump,,"{""size"": 3698.8609077423043, ""open_positions"": 4}"
2025-11-30T12:00:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_173010,9iXwnWndycLagCoz16Pgxk5dxvX7BtBw3gkyZQQypump,,"{""entry_time"": ""2025-11-30T06:01:00+00:00"", ""exit_time"": ""2025-11-30T12:00:00+00:00"", ""pnl_pct"": -0.888603459023013, ""pnl_sol"": -3297.8072828953523, ""fees_total_sol"": 1.6536704663615183, ""close_reason"": ""unknown""}"
2025-11-30T13:32:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173086,93x67YtArpqdzmmyXQ7qxhvvoDTkC59dsHWXhD7Ypump,,"{""size"": 3370.151111580475, ""open_positions"": 4}"
2025-11-30T13:32:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173086,93x67YtArpqdzmmyXQ7qxhvvoDTkC59dsHWXhD7Ypump,,{}
2025-12-01T00:10:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173160,4PEvwEELYJ6p8maA9ZejzKXF2785sYbRcm7juNxjpump,,{}
2025-12-01T00:10:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173160,4PEvwEELYJ6p8maA9ZejzKXF2785sYbRcm7juNxjpump,,"{""size"": 4268.716698319349, ""open_positions"": 3}"
2025-12-01T02:51:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173173,AF1WXPafV4rGD38G1fs7kMH1an9HXNtigKaJqWRBpump,,{}
2025-12-01T02:51:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173173,AF1WXPafV4rGD38G1fs7kMH1an9HXNtigKaJqWRBpump,,"{""size"": 3841.8449784874138, ""open_positions"": 4}"
2025-12-01T06:05:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_173160,4PEvwEELYJ6p8maA9ZejzKXF2785sYbRcm7juNxjpump,,"{""entry_time"": ""2025-12-01T00:10:00+00:00"", ""exit_time"": ""2025-12-01T06:05:00+00:00"", ""pnl_pct"": -0.9515219003131709, ""pnl_sol"": -4061.7774246833915, ""fees_total_sol"": 0.8277570945438413, ""close_reason"": ""unknown""}"
2025-12-01T08:07:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173220,G2ZzkLiVnCHk7gAHkx4NQNaxTqEpkA474Hk5opVgpump,,{}
2025-12-01T08:07:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173220,G2ZzkLiVnCHk7gAHkx4NQNaxTqEpkA474Hk5opVgpump,,"{""size"": 3478.2715322928134, ""open_positions"": 4}"
2025-12-01T10:20:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173240,7c41bmq2W4LDi5XWwYGFsA8ZRW5EXqPLkKhrw2gnpump,,{}
2025-12-01T10:20:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173240,7c41bmq2W4LDi5XWwYGFsA8ZRW5EXqPLkKhrw2gnpump,,"{""size"": 4385.699457518958, ""open_positions"": 4}"
2025-12-01T14:06:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_173220,G2ZzkLiVnCHk7gAHkx4NQNaxTqEpkA474Hk5opVgpump,,"{""entry_time"": ""2025-12-01T08:07:00+00:00"", ""exit_time"": ""2025-12-01T14:06:00+00:00"", ""pnl_pct"": -0.5779136204482999, ""pnl_sol"": -2010.1404941295953, ""fees_total_sol"": 5.872524152652886, ""close_reason"": ""unknown""}"
2025-12-01T14:10:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173265,237of5pRcaFrQMQkmqhAGUHLxhY56h1R8wL1mdT4pump,,{}
2025-12-01T14:10:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173265,237of5pRcaFrQMQkmqhAGUHLxhY56h1R8wL1mdT4pump,,"{""size"": 4093.355263168118, ""open_positions"": 4}"
2025-12-01T15:12:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_173273,9mGtWvoGgRuUiFvyBJSVEdsA8T4sk4BpeQ9qYq3Kpump,,{}
2025-12-01T15:12:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_173273,9mGtWvoGgRuUiFvyBJSVEdsA8T4sk4BpeQ9qYq3Kpump,,"{""size"": 3684.0196868513067, ""open_positions"": 5}"
