severity,code,message,context
P1,missing_events_chain,Closed position e9ec05cb6eb644539559e7c5dc7ba3da has no POSITION_CLOSED event,{'position_id': 'e9ec05cb6eb644539559e7c5dc7ba3da'}
P1,missing_events_chain,Closed position 2030acf437934b78a075165f641803a8 has no POSITION_CLOSED event,{'position_id': '2030acf437934b78a075165f641803a8'}
P1,missing_events_chain,Closed position 195755ff27f5445680f7b26294991c2f has no POSITION_CLOSED event,{'position_id': '195755ff27f5445680f7b26294991c2f'}
P1,missing_events_chain,Closed position 30c80d47a5b3451284c8ffec034878bf has no POSITION_CLOSED event,{'position_id': '30c80d47a5b3451284c8ffec034878bf'}
P1,missing_events_chain,Closed position 5ebbe7716fa0420dbf93c16ca950a76d has no POSITION_CLOSED event,{'position_id': '5ebbe7716fa0420dbf93c16ca950a76d'}
P1,missing_events_chain,Closed position 38049130797e4f40919578265395d58e has no POSITION_CLOSED event,{'position_id': '38049130797e4f40919578265395d58e'}
P1,missing_events_chain,Closed position 4d8de42f400647099f13d06967e6ca2e has no POSITION_CLOSED event,{'position_id': '4d8de42f400647099f13d06967e6ca2e'}
P1,missing_events_chain,Closed position 85a1b554439846aa8b9b039571bcfe32 has no POSITION_CLOSED event,{'position_id': '85a1b554439846aa8b9b039571bcfe32'}
P1,missing_events_chain,Closed position c55327a4148b46debb5d435c5326d007 has no POSITION_CLOSED event,{'position_id': 'c55327a4148b46debb5d435c5326d007'}
P1,missing_events_chain,Closed position c1263b44a8684228a0cbbdc2b8a2255e has no POSITION_CLOSED event,{'position_id': 'c1263b44a8684228a0cbbdc2b8a2255e'}
P1,missing_events_chain,Closed position 1c9cb5d690fb4530931a4a43ef1cb1cb has no POSITION_CLOSED event,{'position_id': '1c9cb5d690fb4530931a4a43ef1cb1cb'}
P1,missing_events_chain,Closed position b45c13dc3b9341be9fe78c25fc2abfdf has no POSITION_CLOSED event,{'position_id': 'b45c13dc3b9341be9fe78c25fc2abfdf'}
P1,missing_events_chain,Closed position 96f80f8494864184a38014a52cb00836 has no POSITION_CLOSED event,{'position_id': '96f80f8494864184a38014a52cb00836'}
